datetime,visitor,visitor_runs,home,home_team_runs
2020-08-22,TEX,1,SEA,10
2020-08-23,TEX,1,SEA,4
2020-08-28,SEA,2,LAA,3
2020-08-29,SEA,3,LAA,16
2020-08-30,SEA,2,LAA,1
2020-08-31,SEA,2,LAA,1
2020-09-04,TEX,3,SEA,6
2020-09-05,TEX,3,SEA,5
2020-09-06,TEX,3,SEA,4
2020-09-07,TEX,4,SEA,8
2020-09-11,SEA,3,ARI,4
2020-09-12,SEA,7,ARI,3
2020-09-13,SEA,7,ARI,3
2020-07-24,BAL,2,BOS,13
2020-07-25,BAL,7,BOS,2
2020-07-26,BAL,7,BOS,4
2020-08-07,BAL,11,WSN,0
2020-08-08,BAL,5,WSN,3
2020-08-09,BAL,6,WSN,2
2020-08-14,WSN,15,BAL,3
2020-08-15,WSN,3,BAL,7
2020-08-16,WSN,6,BAL,5
2020-08-20,BOS,7,BAL,1
2020-08-21,BOS,8,BAL,5
2020-08-22,BOS,4,BAL,5
2020-08-23,BOS,4,BAL,5
2020-08-07,LAA,3,TEX,4
2020-08-08,LAA,0,TEX,2
2020-08-09,LAA,3,TEX,7
2020-09-08,LAA,1,TEX,7
2020-09-09,LAA,3,TEX,7
2020-09-10,LAA,6,TEX,2
2020-09-15,ARI,9,LAA,8
2020-09-16,ARI,9,LAA,6
2020-09-17,ARI,3,LAA,7
2020-09-18,TEX,2,LAA,6
2020-09-19,TEX,3,LAA,4
2020-09-20,TEX,7,LAA,2
2020-07-27,KCR,14,DET,6
2020-07-28,KCR,3,DET,4
2020-07-29,KCR,4,DET,5
2020-07-30,KCR,5,DET,3
2020-08-07,DET,17,PIT,13
2020-08-08,DET,11,PIT,5
2020-08-09,DET,2,PIT,1
2020-09-15,KCR,0,DET,6
2020-09-16,KCR,4,DET,0
2020-09-11,PIT,3,KCR,4
2020-09-12,PIT,4,KCR,7
2020-09-13,PIT,0,KCR,11
2020-08-28,WSN,10,BOS,2
2020-08-29,WSN,3,BOS,5
2020-08-30,WSN,5,BOS,9
2020-07-28,ARI,4,TEX,1
2020-07-29,ARI,4,TEX,7
